epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.38,1.26928,1.15783,1.03715,0.97581,0.96812,0.98273,0.59879,1.24026,0.74324,1.04469,0.000665052,0.000665052,0.000665052
2,183.585,1.20469,0.7084,1.02485,0.96217,0.96161,0.98199,0.63227,1.24241,0.66571,1.07962,0.00128777,0.00128777,0.00128777
3,265.658,1.19515,0.65012,1.02608,0.95612,0.93521,0.97184,0.64331,1.17452,0.70873,1.06181,0.00186649,0.00186649,0.00186649
4,340.276,1.162,0.60376,1.02456,0.96739,0.97361,0.98562,0.66668,1.16732,0.55269,1.05156,0.001802,0.001802,0.001802
5,420.886,1.14756,0.57314,1.02122,0.97703,0.96942,0.99003,0.68018,1.14022,0.52784,1.03356,0.001736,0.001736,0.001736
6,510.576,1.14718,0.56604,1.01759,0.98636,0.97301,0.99073,0.68728,1.14931,0.51937,1.04036,0.00167,0.00167,0.00167
7,607.058,1.12498,0.53922,1.0139,0.9711,0.96753,0.98423,0.67996,1.13804,0.51973,1.03711,0.001604,0.001604,0.001604
8,678.129,1.10981,0.52962,1.00826,0.99325,0.97092,0.99099,0.6988,1.1062,0.47927,1.02092,0.001538,0.001538,0.001538
9,750.715,1.10667,0.52091,1.00285,0.99327,0.97353,0.99131,0.69948,1.12004,0.49982,1.02935,0.001472,0.001472,0.001472
10,818.575,1.09646,0.51202,0.99927,0.97731,0.97361,0.9907,0.68891,1.12743,0.48586,1.02452,0.001406,0.001406,0.001406
11,889.184,1.08509,0.50413,1.00027,0.98975,0.9802,0.99269,0.70379,1.08015,0.46247,1.01286,0.00134,0.00134,0.00134
12,961.647,1.07924,0.49532,1.00153,0.98371,0.97807,0.99301,0.69503,1.10033,0.4684,1.02388,0.001274,0.001274,0.001274
13,1033.72,1.06459,0.48686,0.99359,0.9897,0.9799,0.99317,0.7135,1.08982,0.45494,1.00953,0.001208,0.001208,0.001208
14,1104.17,1.05826,0.47769,0.9902,0.98852,0.9817,0.9931,0.71324,1.07491,0.43975,1.00084,0.001142,0.001142,0.001142
15,1177.16,1.06299,0.47458,0.98683,0.98322,0.98435,0.99389,0.7097,1.08582,0.44485,1.0098,0.001076,0.001076,0.001076
16,1248.2,1.04846,0.46292,0.98728,0.9897,0.98012,0.99395,0.70928,1.10579,0.43673,1.01228,0.00101,0.00101,0.00101
17,1326.21,1.04487,0.46119,0.98266,0.98384,0.98628,0.99359,0.71224,1.07473,0.42589,1.00614,0.000944,0.000944,0.000944
18,1401.65,1.04337,0.45615,0.98167,0.99264,0.9766,0.9929,0.71762,1.06743,0.42676,1.00651,0.000878,0.000878,0.000878
19,1471.3,1.03661,0.4514,0.9806,0.99274,0.98387,0.99378,0.7165,1.06309,0.41566,0.998,0.000812,0.000812,0.000812
20,1544.15,1.01641,0.43879,0.97414,0.99154,0.98463,0.9943,0.72806,1.0521,0.40727,0.99799,0.000746,0.000746,0.000746
21,1642.1,1.02407,0.41756,1.00855,0.99211,0.98003,0.9939,0.71693,1.07193,0.42239,1.00345,0.00068,0.00068,0.00068
22,1713.54,1.01556,0.41453,1.00233,0.99275,0.98533,0.99403,0.72757,1.05057,0.41944,0.99928,0.000614,0.000614,0.000614
23,1784.91,1.00332,0.40718,0.99847,0.99258,0.9838,0.99432,0.7374,1.03536,0.4065,0.99187,0.000548,0.000548,0.000548
24,1856.66,0.99631,0.40036,0.99738,0.99093,0.98336,0.99383,0.72228,1.0616,0.40778,1.00184,0.000482,0.000482,0.000482
25,1926.44,0.989,0.39289,1.00031,0.9952,0.9832,0.99464,0.72986,1.0481,0.39959,0.99946,0.000416,0.000416,0.000416
26,1995.67,0.98118,0.38786,0.99417,0.99336,0.98682,0.99478,0.73397,1.0431,0.39617,0.99341,0.00035,0.00035,0.00035
27,2065.7,0.97122,0.37771,0.99056,0.99757,0.98363,0.99456,0.73965,1.02799,0.38999,0.98793,0.000284,0.000284,0.000284
28,2140.66,0.96703,0.37371,0.98489,0.9965,0.9856,0.99451,0.73399,1.04035,0.38293,0.99089,0.000218,0.000218,0.000218
29,2217.39,0.95975,0.3652,0.98232,0.99604,0.9868,0.99472,0.74073,1.02351,0.37533,0.98449,0.000152,0.000152,0.000152
30,2291.45,0.95164,0.3595,0.98132,0.99517,0.98782,0.99486,0.73754,1.0282,0.3736,0.98615,8.6e-05,8.6e-05,8.6e-05
